code,display_code,title,credits,area,prerequisites,corequisites,is_bundle
FIN 321,FIN 321,Money and Capital Markets,3,Financial Economics,ECO 101;ECO 102,,false
FIN 410,FIN 410,Investments,3,Financial Economics,FIN 301,,false
FIN 495,FIN 495,Special Topics in Financial Economics,3,Financial Economics,FIN 301,,false
CFE 450,CFE 450,Market Definition,3,Free Enterprise,,,false
CFE 455,CFE 455,Enterprise Development,3,Free Enterprise,CFE 450,,false
CFE 490,CFE 490,Honors Market Definition,3,Free Enterprise,,,false
CFE 491,CFE 491,Honors Enterprise Development,3,Free Enterprise,CFE 490,,false
FRE 101,FRE 101,Elementary French I,3,French,,,false
FRE 102,FRE 102,Elementary French II,3,French,,,false
FRE 201,FRE 201,Intermediate French I,3,French,FRE 101;FRE 102,,false
FRE 202,FRE 202,Intermediate French II,3,French,FRE 101;FRE 102,,false
FRE 205,FRE 205,Readings in French,1-3,French,FRE 101;FRE 102,,false
FRE 301,FRE 301,Advanced French Grammar and Composition,3,French,FRE 201;FRE 202,,false
FRE 303,FRE 303,Advanced French Conversation,3,French,FRE 201;FRE 202,,false
FRE 310,FRE 310,Survey of French Literature I,3,French,FRE 201;FRE 202,,false
FRE 311,FRE 311,Survey of French Literature II,3,French,FRE 201;FRE 202,,false
FRE 315,FRE 315,Survey of French Cinema,3,French,FRE 201;FRE 202,,false
FRE 381,FRE 381,Selected Studies,3,French,FRE 201;FRE 202,,false
FRE 401,FRE 401,Independent Study,1-3,French,FRE 201;FRE 202,,false
FRE 402,FRE 402,Independent Study,1-3,French,FRE 201;FRE 202,,false
GDR 301,GDR 301,Women and Gender in Transnational Context: Transnational Feminisms,3,Gender Studies,,,false
GDR 397,GDR 397,Topics in Gender Studies,3,Gender Studies,,,false
HCM 301,HCM 301,Foundations of Health Care Management,3,Health Care Management,MGT 301,,false
HCM 311,HCM 311,Health Care Legal and Regulatory Environment,3,Health Care Management,BUS 301,,false
HCM 450,HCM 450,The Business of Health Care: Strategy and Management,3,Health Care Management,MGT 301;MKT 311;FIN 301,,false
HCM 495,HCM 495,Special Topics in Health Care Management,3,Health Care Management,HCM 301,,false
HCM 550,HCM 550,Business of Healthcare,3,Health Care Management,,,false
HCM 563,HCM 563,Foundations of Health Care Management,3,Health Care Management,,,false
HSC 105,HSC 105,Introduction to Kinesiology,3,Health Science,,,false
HSC 108,HSC 108,Medical Terminology,3,Health Science,,,false
HSC 131,HSC 131,Human Anatomy and Physiology Recitation I,0,Health Science,,HSC 231,false
HSC 136,HSC 136,Medical Microbiology,3,Health Science,BIO 101;CHM 101;CHM 111,HSC 138,false
HSC 138,HSC 138,Medical Microbiology Laboratory,1,Health Science,,HSC 136,false
HSC 165,HSC 165,Emergency Medical Responder,1,Health Science,,,false
HSC 201,HSC 201,Normal and Therapeutic Nutrition,2,Health Science,,,false
HSC 204,HSC 204,Developmental Psychology,3,Health Science,PSY 101,,false
HSC 205,HSC 205,Health Science Shadowing,1,Health Science,,,false
HSC 225,HSC 225,Psychopathology,3,Health Science,PSY 101,,false
HSC 231,HSC 231,Human Anatomy and Physiology I,3,Health Science,BIO 101;CHM 101;CHM 111,HSC 233;HSC 131,false
HSC 232,HSC 232,Human Anatomy and Physiology II,3,Health Science,HSC 231,HSC 234,false
HSC 233,HSC 233,Human Anatomy and Physiology Laboratory I,1,Health Science,,HSC 231;HSC 232,false
HSC 234,HSC 234,Human Anatomy and Physiology Laboratory II,1,Health Science,,HSC 231;HSC 232,false
HSC 256,HSC 256,Cultural Anthropology,3,Health Science,,,false
HSC 301,HSC 301,Introduction to Global Health,3,Health Science,,,false
HSC 420,HSC 420,Community as Client,3,Health Science,,,false
HIS 110,HIS 110,Introduction to Global Historical Studies,3,History,,,false
HIS 120,HIS 120,Introduction to American Historical Studies,3,History,,,false
HIS 203,HIS 203,Historical Methods,3,History,,,false
HIS 211,HIS 211,Western Civilization to 1648,3,History,,,false
HIS 212,HIS 212,Western Civilization Since 1648,3,History,,,false
HIS 213,HIS 213,America to 1876,3,History,,,false
HIS 214,HIS 214,The United States Since 1876,3,History,,,false
HIS 220,HIS 220,Introduction to Colonial Latin America,3,History,,,false
HIS 221,HIS 221,Introduction to Modern Latin America,3,History,,,false
HIS 290,HIS 290,Honors History,3,History,,,false
HIS 297,HIS 297,Special Topics in History,3,History,,,false
HIS 312,HIS 312,Medieval Civilization,3,History,HIS 110;HIS 120,,false
HIS 314,HIS 314,The Renaissance and the Reformation,3,History,HIS 110;HIS 120,,false
HIS 317,HIS 317,The Age of Absolutism and the Enlightenment,3,History,HIS 110;HIS 120,,false
HIS 318,HIS 318,French Revolution and Napoleon,3,History,HIS 110;HIS 120,,false
HIS 319,HIS 319,Europe: 1815-1900,3,History,HIS 110;HIS 120,,false
HIS 320,HIS 320,Europe in the Era of the World Wars,3,History,HIS 110;HIS 120,,false
HIS 321,HIS 321,The History of the Holocaust,3,History,HIS 110;HIS 120,,false
HIS 322,HIS 322,Europe Since 1945,3,History,HIS 110;HIS 120,,false
HIS 323,HIS 323,Women in European History,3,History,HIS 110;HIS 120,,false
HIS 324,HIS 324,Women in American History,3,History,HIS 110;HIS 120,,false
HIS 325,HIS 325,Women’s History,3,History,HIS 110;HIS 120,,false
HIS 326,HIS 326,African-American History,3,History,HIS 110;HIS 120,,false
HIS 327,HIS 327,History of Film and TV,3,History,,,false
HIS 330,HIS 330,World Cultures,3,History,HIS 110;HIS 120,,false
HIS 332,HIS 332,Modern Mexico,3,History,HIS 110;HIS 120,,false
HIS 333,HIS 333,Native Histories of the Americas,3,History,HIS 110;HIS 120,,false
HIS 341,HIS 341,Colonial America,3,History,HIS 110;HIS 120,,false
HIS 342,HIS 342,"The American Revolution, 1763-1788",3,History,HIS 110;HIS 120,,false
HIS 343,HIS 343,"The Age of Jefferson and Jackson, 1789-1848",3,History,HIS 110;HIS 120,,false
HIS 344,HIS 344,The Civil War and Reconstruction,3,History,HIS 110;HIS 120,,false
HIS 350,HIS 350,The Making of Modern America,3,History,HIS 110;HIS 120,,false
HIS 351,HIS 351,US: World Wars and Great Depression,3,History,HIS 110;HIS 120,,false
HIS 352,HIS 352,The United States Since 1945,3,History,HIS 110;HIS 120,,false
HIS 355,HIS 355,"The Vietnam Wars, 1945-1975",3,History,HIS 110;HIS 120,,false
HIS 360,HIS 360,The South,3,History,HIS 110;HIS 120,,false
HIS 361,HIS 361,The American West,3,History,HIS 110;HIS 120,,false
HIS 362,HIS 362,American Presidents,3,History,,,false
HIS 364,HIS 364,American Environmental History,3,History,,,false
HIS 365,HIS 365,American Immigration Studies,3,History,HIS 110;HIS 120,,false
HIS 390,HIS 390,Honors Historical Studies,3,History,HIS 110;HIS 120,,false
HIS 495,HIS 495,Seminar Topic,3,History,,,false
HIS 496,HIS 496,Readings in History,3,History,,,false
HIS 497,HIS 497,Topics in History,3,History,HIS 110;HIS 120,,false
HIS 498,HIS 498,Historical Internship,3-6,History,,,false
HIS 499,HIS 499,Seminar,3,History,HIS 495,,false
HIS 501,HIS 501,Studies in History,1-3,History,,,false
HIS 525,HIS 525,Women's History,3,History,,,false
HIS 526,HIS 526,African-American History,3,History,,,false
HIS 530,HIS 530,World Cultures,3,History,,,false
HIS 542,HIS 542,American Revolution and the Early Republic,3,History,,,false
HIS 544,HIS 544,The Civil War and Reconstruction,3,History,,,false
HIS 550,HIS 550,The Making of Modern America,3,History,,,false
HIS 552,HIS 552,The United States Since 1945,3,History,,,false
HIS 560,HIS 560,The South,3,History,,,false
HON 490,HON 490,Honors Senior Seminar,0,Honors,,,false
HON 495,HON 495,Honors Thesis Research,3,Honors,,,false
HON 499,HON 499,Honors Special Topics,1-3,Honors,,,false
IDS 290,IDS 290,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 291,IDS 291,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 292,IDS 292,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 390,IDS 390,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 391,IDS 391,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 392,IDS 392,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 394,IDS 394,Special Topics,1-3,Interdisciplinary Studies,,,false
IDS 397,IDS 397,Topics in Gender Studies,3,Interdisciplinary Studies,,,false
IDS 490,IDS 490,Interdisciplinary Internship,3-6,Interdisciplinary Studies,,,false
IDS 495,IDS 495,Interdisciplinary Synthesis Paper,3,Interdisciplinary Studies,,,false
IDS 496,IDS 496,Interdisciplinary Synthesis Project,3,Interdisciplinary Studies,,,false
IDS 499,IDS 499,Interdisciplinary Studies Seminar,3,Interdisciplinary Studies,,,false
LAN 301,LAN 301,The French Heritage I,3,Languages and Culture,,,false
LAN 302,LAN 302,The French Heritage II,3,Languages and Culture,,,false
LAN 303,LAN 303,The Spanish Heritage I,3,Languages and Culture,,,false
LAN 304,LAN 304,The Spanish Heritage II,3,Languages and Culture,,,false
LAN 305,LAN 305,The Latin American Heritage,3,Languages and Culture,,,false
LAN 306,LAN 306,The Italian Heritage I,3,Languages and Culture,,,false
LAN 307,LAN 307,The Italian Heritage II,3,Languages and Culture,,,false
LAS 255,LAS 255,Introduction to Latin American Studies,3,Latin American Studies,SPA 202,,false
LSR 100,LSR 100,Recreational Tennis,1,Leisure Sports and Recreation,,,false
LSR 110,LSR 110,Recreational Golf,1,Leisure Sports and Recreation,,,false
LSR 115,LSR 115,Advanced Golf,1,Leisure Sports and Recreation,,,false
LSR 120,LSR 120,Weight Training,1,Leisure Sports and Recreation,,,false
LSR 130,LSR 130,Recreational Saltwater Fishing,1,Leisure Sports and Recreation,,,false
LSR 140,LSR 140,Walking and Jogging,1,Leisure Sports and Recreation,,,false
LSR 150,LSR 150,Aerobics,1,Leisure Sports and Recreation,,,false
LSR 160,LSR 160,Basic RAD (Rape Aggression Defense) System for Women,1,Leisure Sports and Recreation,,,false
LSR 170,LSR 170,Soccer,1,Leisure Sports and Recreation,,,false
LSR 180,LSR 180,Racquetball,1,Leisure Sports and Recreation,,,false
LSR 190,LSR 190,Recreational Sport,1,Leisure Sports and Recreation,,,false
LIS 501,LIS 501,Classical Antiquity,3,Library and Information Science,,,false
LIS 502,LIS 502,The Medieval World,3,Library and Information Science,,,false
LIS 503,LIS 503,Modernity,3,Library and Information Science,,,false
LIS 504,LIS 504,Non-Western Culture,3,Library and Information Science,,,false
LIS 505,LIS 505,The Scientific Revolution,3,Library and Information Science,,,false
LIS 506,LIS 506,Engaging Global Problems,3,Library and Information Science,,,false
LIS 507,LIS 507,Culture and Digital Communications,3,Library and Information Science,,,false
LIS 530,LIS 530,Studies in Philosophy and Religion,3,Library and Information Science,,,false
LIS 540,LIS 540,Studies in Science and Society,3,Library and Information Science,,,false
LIS 570,LIS 570,Studies in Leadership and Ethics,3,Library and Information Science,,,false
LIS 571,LIS 571,Organizational Behavior,3,Library and Information Science,,,false
LIS 572,LIS 572,Leadership,3,Library and Information Science,,,false
LIS 573,LIS 573,Business Ethics and Social Responsibility,3,Library and Information Science,,,false
LIS 574,LIS 574,Conflict Management,3,Library and Information Science,,,false
LIS 580,LIS 580,Women's Studies,3,Library and Information Science,,,false
LIS 585,LIS 585,Studies in Cultural Diversity,3,Library and Information Science,,,false
LIS 590,LIS 590,Independent Study,3,Library and Information Science,,,false
LIS 592,LIS 592,Capstone Project,3,Library and Information Science,,,false
LIS 599,LIS 599,Special Topics,1-3,Library and Information Science,,,false
MGT 301,MGT 301,Management Principles,3,Management,ECO 101;ECO 102;ACC 201,,false
MGT 320,MGT 320,Organizational Behavior,3,Management,MGT 301,,false
MGT 330,MGT 330,Industrial/Organizational Psychology,3,Management,PSY 101,,false
MGT 351,MGT 351,Entrepreneurship and Small Business Management,3,Management,MGT 301,,false
MGT 495,MGT 495,Special Topics in Management,3,Management,MGT 301,,false
MRN 125,MRN 125,Oceanology of the Gulf of Mexico,2,Marine Biology,,,false
MRN 127,MRN 127,Commercial Marine Fisheries of Alabama,2,Marine Biology,,,false
MRN 129,MRN 129,Coastal Climatology,2,Marine Biology,,,false
MRN 140,MRN 140,GIS Basics,2,Marine Biology,,,false
MRN 142,MRN 142,GIS Applications,2,Marine Biology,MRN 140,,false
MRN 301,MRN 301,Marine Botany,4,Marine Biology,BIO 102,,false
MRN 302,MRN 302,Marine Vertebrate Zoology,4,Marine Biology,BIO 254,,false
MRN 304,MRN 304,Marine Protozoology,2,Marine Biology,BIO 205,,false
MRN 306,MRN 306,Marine Biology,4,Marine Biology,BIO 101,,false
MRN 307,MRN 307,Introduction to Oceanography,4,Marine Biology,BIO 101;CHM 111;PHY 221,,false
MRN 310,MRN 310,Ecology of the Florida Everglades,2,Marine Biology,BIO 101;BIO 103,,false
MRN 312,MRN 312,Marine Ecology,4,Marine Biology,BIO 254,,false
MRN 314,MRN 314,Coastal Birds of Alabama,2,Marine Biology,BIO 254,,false
MRN 315,MRN 315,Marine Geology,4,Marine Biology,,,false
MRN 316,MRN 316,Recent Marine Sedimentation,4,Marine Biology,,,false
MRN 318,MRN 318,Coastal Geomorphology,2,Marine Biology,,,false
MRN 323,MRN 323,Marine Technical Methods,2,Marine Biology,BIO 101,,false
MRN 325,MRN 325,Identification of Vascular Flora of Dauphin Island and Coastal Alabama,2,Marine Biology,BIO 102,,false
MRN 327,MRN 327,Biodiversity of Coastal Ecosystems,4,Marine Biology,BIO 101,,false
MRN 401,MRN 401,Marine Mammals,4,Marine Biology,BIO 254,,false
MRN 403,MRN 403,Marine Invertebrate Zoology,4,Marine Biology,BIO 205,,false
MRN 410,MRN 410,Shark and Ray Biology,2,Marine Biology,BIO 254,,false
MRN 412,MRN 412,Marine Parasitology,2,Marine Biology,BIO 205,,false
MRN 414,MRN 414,Marsh Ecology,4,Marine Biology,BIO 355,,false
MRN 416,MRN 416,Coral Reef Ecology,4,Marine Biology,BIO 355;MRN 312,,false
MRN 418,MRN 418,Marine Behavioral Ecology,4,Marine Biology,BIO 254;MTH 121,,false
MRN 420,MRN 420,Marine Conservation Biology,4,Marine Biology,BIO 355;MRN 312,,false
MRN 422,MRN 422,Marine Fish Diseases,2,Marine Biology,BIO 101,,false
MRN 424,MRN 424,Marine Aquaculture,2,Marine Biology,BIO 102;CHM 111,,false
MRN 426,MRN 426,Coastal Zone Management,2,Marine Biology,,,false
MRN 430,MRN 430,Special Topics,1-4,Marine Biology,,,false
MRN 431,MRN 431,Dolphins and Whales,2,Marine Biology,BIO 254;BIO 241,,false
MRN 433,MRN 433,Marine Toxicology,4,Marine Biology,BIO 360;CHM 231,,false
MRN 435,MRN 435,Tropical Marine Ecosystems,4,Marine Biology,BIO 355,,false
MRN 440,MRN 440,Directed Research,1-6,Marine Biology,,,false
MRN 450,MRN 450,Introduction to Neurobiology,4,Marine Biology,BIO 360,,false
MRN 501,MRN 501,Marine Botany,4,Marine Biology,,,false
MRN 503,MRN 503,Marine Invertebrate Zoology,4,Marine Biology,,,false
MRN 512,MRN 512,Marine Ecology,4,Marine Biology,,,false
MKT 220,MKT 220,Integrated Marketing Communications,3,Marketing,,,false
MKT 311,MKT 311,Marketing Principles,3,Marketing,ECO 101;ECO 102;ACC 201,,false
MKT 315,MKT 315,Crisis Communication,3,Marketing,CMM 220;BUS 210,,false
MKT 364,MKT 364,Media Planning and Measurement,3,Marketing,MKT 311;CMM 220,,false
MKT 365,MKT 365,Strategic Writing,3,Marketing,CMM 251;BUS 210,,false
MKT 366,MKT 366,Strategic Planning for PR and Advertising,3,Marketing,CMM 220;CMM 221,,false
MKT 371,MKT 371,UX/UI Design,3,Marketing,,,false
MKT 422,MKT 422,Marketing Research,3,Marketing,MKT 311;BUS 263,,false
MKT 443,MKT 443,Promotional Strategy,3,Marketing,MKT 311,,false
MKT 450,MKT 450,Marketing Management,3,Marketing,MKT 311,,false
MKT 472,MKT 472,Student Agency,3,Marketing,CMM 366,,false
MKT 475,MKT 475,Digital Marketing Certifications,3,Marketing,,,false
MKT 495,MKT 495,Special Topics in Marketing,3,Marketing,MKT 311,,false
MTH 100,MTH 100,Intermediate Algebra,3,Mathematics,,MTH 101,false
MTH 101,MTH 101,Intermediate Algebra Recitation,0,Mathematics,,MTH 100,false
MTH 103,MTH 103,Contemporary Mathematics,3,Mathematics,,,false
MTH 104,MTH 104,Social Justice Mathematics,3,Mathematics,,,false
MTH 111,MTH 111,Precalculus with Trigonometry,3,Mathematics,MTH 100,,false
MTH 112,MTH 112,Trigonometry,3,Mathematics,MTH 111,,false
MTH 121,MTH 121,Calculus I,4,Mathematics,MTH 111,,false
MTH 122,MTH 122,Calculus II,4,Mathematics,MTH 121,,false
MTH 140,MTH 140,Calculus with Business Applications,3,Mathematics,MTH 111,,false
MTH 163,MTH 163,Basic Statistics for the Sciences,3,Mathematics,MTH 100,,false
MTH 190,MTH 190,Mathematics for Elementary Teachers,3,Mathematics,,,false
MTH 192,MTH 192,Mathematics for Elementary Teachers II,3,Mathematics,,,false
MTH 221,MTH 221,Linear Algebra,3,Mathematics,MTH 121,,false
MTH 223,MTH 223,Calculus III,4,Mathematics,MTH 122,,false
MTH 261,MTH 261,Differential Equations,3,Mathematics,MTH 122,,false
MTH 301,MTH 301,Introduction to Abstract Mathematics,3,Mathematics,MTH 121;PHL 101,,false
MTH 303,MTH 303,Mathematical Logic,3,Mathematics,PHL 101,,false
MTH 311,MTH 311,Numerical Methods,3,Mathematics,MTH 122;CIS 221,,false
MTH 315,MTH 315,Applied Mathematics I,3,Mathematics,MTH 223,,false
MTH 316,MTH 316,Applied Mathematics II,3,Mathematics,MTH 315,,false
MTH 322,MTH 322,Discrete Mathematics,3,Mathematics,MTH 121,,false
MTH 331,MTH 331,Foundations of Geometry,3,Mathematics,MTH 122,,false
MTH 365,MTH 365,Probability and Statistics,3,Mathematics,MTH 122,,false
MTH 399,MTH 399,Topics in Mathematics,1-3,Mathematics,MTH 122,,false
MTH 423,MTH 423,Cryptography,3,Mathematics,MTH 121,,false
MTH 451,MTH 451,Basic Real Analysis,3,Mathematics,MTH 301;MTH 223,,false
MTH 462,MTH 462,Vector Calculus,3,Mathematics,MTH 223,,false
MTH 464,MTH 464,Complex Variables,3,Mathematics,MTH 301;MTH 223,,false
MTH 465,MTH 465,Problem Solving in Actuarial Science,1-3,Mathematics,MTH 122,,false
MTH 468,MTH 468,Operations Research,3,Mathematics,MTH 365,,false
MTH 470,MTH 470,Mathematical Modeling,3,Mathematics,,,false
MTH 471,MTH 471,Computational Science Laboratory,0-3,Mathematics,MTH 122,,false
MTH 481,MTH 481,Introduction to Topology,3,Mathematics,MTH 301,,false
MTH 482,MTH 482,Abstract Algebra,3,Mathematics,MTH 301,,false
MTH 483,MTH 483,Number Theory,3,Mathematics,MTH 301,,false
MTH 491,MTH 491,Seminar,1,Mathematics,MTH 451;MTH 464;MTH 482,,false
MTH 499,MTH 499,Advanced Topics in Mathematics,1-3,Mathematics,MTH 301,,false
MSC 101,MSC 101,Basic Leadership Skills I,1,Military Science,,,false
MSC 102,MSC 102,Basic Leadership Skills II,1,Military Science,,,false
MSC 201,MSC 201,Intermediate Military Skills I,3,Military Science,,,false
MSC 202,MSC 202,Intermediate Military Skills II,3,Military Science,,,false
MSC 301,MSC 301,Adaptive Team Leadership,3,Military Science,MSC 101;MSC 102;MSC 201;MSC 202,,false
MSC 302,MSC 302,Applied Team Leadership,3,Military Science,MSC 301,,false
MSC 401,MSC 401,The Army Profession,3,Military Science,,,false
MSC 402,MSC 402,Leadership in a Complex World,3,Military Science,,,false
MSC 494,MSC 494,Directed Studies,1-3,Military Science,,,false
MIN 390,MIN 390,Ministry Practicum,1-4,Ministry,,,false
MIN 395,MIN 395,Special Topics in Ministry,1-4,Ministry,,,false
MIN 590,MIN 590,Field Education,1-4,Ministry,,,false
MIN 595,MIN 595,Special Topics in Ministry,1-4,Ministry,,,false
MUS 115,MUS 115,Music Fundamentals,3,Music,,,false
MUS 130,MUS 130,Applied Piano,1,Music,,,false
MUS 140,MUS 140,Applied Organ,1,Music,,,false
MUS 150,MUS 150,Music Theory,3,Music,,,false
MUS 160,MUS 160,Applied Voice,1,Music,,,false
MUS 170,MUS 170,Liturgical Chorus,1,Music,,,false
MUS 180,MUS 180,Applied Guitar,1,Music,,,false
MUS 190,MUS 190,Chorale,1,Music,,,false
MUS 221,MUS 221,Music Appreciation,3,Music,,,false
MUS 222,MUS 222,Music Appreciation,3,Music,,,false
MUS 250,MUS 250,Music Theory II,3,Music,MUS 150,,false
MUS 280,MUS 280,Jazz History,3,Music,,,false
MUS 285,MUS 285,Jazz Band,1,Music,,,false
MUS 299,MUS 299,Special Topics,1-3,Music,,,false
MUS 499,MUS 499,Special Topics,1-3,Music,,,false
NUR 100,NUR 100,Introduction to Professional Nursing and Health,1,Nursing,,,false
NUR 201,NUR 201,Normal and Therapeutic Nutrition,2,Nursing,,,false
NUR 202,NUR 202,Med Math,1,Nursing,,,false
NUR 203,NUR 203,Death and Dying,3,Nursing,,,false
NUR 300,NUR 300,Foundations of Nursing Care,3,Nursing,HSC 231;HSC 233,NUR 100;NUR 201;NUR 202;HSC 232;HSC 234,false
NUR 301,NUR 301,Health Assessment,2,Nursing,,NUR 300;NUR 303,false
NUR 302,NUR 302,Pharmacology,3,Nursing,NUR 300;NUR 301;NUR 303,NUR 320;NUR 340,false
NUR 303,NUR 303,Human Pathophysiology,3,Nursing,,NUR 300;NUR 301,false
NUR 310,NUR 310,Community Mental Health,5,Nursing,NUR 302;NUR 320;NUR 340,NUR 401,false
NUR 320,NUR 320,Childbearing Family,5,Nursing,NUR 300;NUR 301;NUR 303,NUR 302,false
NUR 330,NUR 330,Adult Health I,5,Nursing,NUR 302;NUR 320;NUR 340,NUR 401,false
NUR 340,NUR 340,Community as Client,5,Nursing,NUR 300;NUR 301;NUR 303,NUR 302,false
NUR 401,NUR 401,Scientific Inquiry,3,Nursing,NUR 302;NUR 303;NUR 320;NUR 340;NUR 310;NUR 330,,false
NUR 410,NUR 410,Adult Health II,5,Nursing,NUR 310;NUR 330;NUR 401,PHL 318,false
NUR 411,NUR 411,Child and Adolescent Health,5,Nursing,NUR 410;NUR 445,NUR 430,false
NUR 430,NUR 430,Leadership and Management,3,Nursing,NUR 401;NUR 410;NUR 445,NUR 411;NUR 440;NUR 460,false
NUR 440,NUR 440,Practicum: Hospital,3,Nursing,,NUR 430;NUR 460,false
NUR 445,NUR 445,Adult Health III,5,Nursing,NUR 310;NUR 330;NUR 401;NUR 410,PHL 318,false
NUR 460,NUR 460,Senior Seminar,3,Nursing,NUR 445,NUR 411;NUR 430;NUR 440,false
NUR 499,NUR 499,Special Topics,1-3,Nursing,,,false
NUR 510,NUR 510,"Essentials of Advanced Health Assessment, Pathophysiology and Pharmacology",3,Nursing,,,false
NUR 511,NUR 511,Ethics in Healthcare,3,Nursing,,,false
NUR 512,NUR 512,Informatics in Healthcare,3,Nursing,,,false
NUR 513,NUR 513,Theoretical Foundations for Leadership,3,Nursing,,,false
NUR 514,NUR 514,Applied Research and Evidence-Based Practice,3,Nursing,,,false
NUR 518,NUR 518,Health Policy,3,Nursing,,,false
NUR 519,NUR 519,Advanced Statistics for Healthcare,3,Nursing,,,false
NUR 530,NUR 530,Theoretical Educational Foundations of Nursing Education,3,Nursing,,,false
NUR 531,NUR 531,Curriculum Development,3,Nursing,,,false
NUR 532,NUR 532,Course Development,3,Nursing,,,false
NUR 533,NUR 533,Teaching Strategies,3,Nursing,,,false
NUR 534,NUR 534,Testing and Evaluation Strategies,3,Nursing,,,false
NUR 535,NUR 535,Practicum for Nurse Educators,3,Nursing,,,false
NUR 541,NUR 541,Quality and Safety in the Healthcare Environment,3,Nursing,,,false
NUR 542,NUR 542,Organizational Behavior,3,Nursing,,,false
NUR 543,NUR 543,Finance for Healthcare Leaders,3,Nursing,,,false
NUR 544,NUR 544,Administration in Healthcare Organizations,3,Nursing,,,false
NUR 545,NUR 545,Practicum – Project Development,3,Nursing,,,false
LDR 252,LDR 252,Writing,1,Organizational Leadership,,,false
LDR 301,LDR 301,Communication and Technology Workshop,1,Organizational Leadership,,,false
LDR 302,LDR 302,Intermediate PowerPoint,1,Organizational Leadership,,,false
LDR 310,LDR 310,"Work, Motivation and Leadership in the New Workplace",3,Organizational Leadership,,,false
LDR 352,LDR 352,Microsoft Office Suite,1,Organizational Leadership,,,false
LDR 353,LDR 353,Authoring Digital Documents with Adobe Acrobat,1,Organizational Leadership,,,false
LDR 354,LDR 354,Intermediate Microsoft Excel®,1,Organizational Leadership,,,false
LDR 355,LDR 355,Strategies for Effective Team Building,1,Organizational Leadership,,,false
LDR 356,LDR 356,Business and Social Etiquette Strategies,1,Organizational Leadership,,,false
LDR 357,LDR 357,LEAN Strategy Overview,1,Organizational Leadership,,,false
LDR 358,LDR 358,Introduction to Microsoft Access,1,Organizational Leadership,,,false
LDR 410,LDR 410,Managing Diversity in the Workplace,3,Organizational Leadership,,,false
LDR 420,LDR 420,Conflict Management and Resolution,3,Organizational Leadership,,,false
LDR 452,LDR 452,Decision Making,1,Organizational Leadership,,,false
LDR 453,LDR 453,Leadership for Learning (Strategies for Effective Training),1,Organizational Leadership,,,false
LDR 490,LDR 490,Senior Seminar/Capstone,3,Organizational Leadership,,,false
LDR 491,LDR 491,Special Topics Workshop in Leadership,1,Organizational Leadership,,,false
PTH 101,PTH 101,Community and Well-Being,1,Pathways,,,false
PTH 102,PTH 102,Engagement and Outreach,1,Pathways,,,false
PTH 110,PTH 110,College Success Strategies,2,Pathways,,,false
PTH 201,PTH 201,Major and Career Exploration,2,Pathways,,,false
PTH 205,PTH 205,Pre-Professional Development,1,Pathways,,,false
PTH 210,PTH 210,Peer Tutoring,1,Pathways,,,false
PTH 215,PTH 215,Reflective Service,1,Pathways,,,false
PTH 220,PTH 220,Intercultural Experience Preparation,1,Pathways,,,false
PTH 301,PTH 301,Internship I,1-3,Pathways,,,false
PTH 302,PTH 302,Internship II,1-3,Pathways,,,false
PTH 303,PTH 303,Pre-law Internship,3,Pathways,,,false
PTH 401,PTH 401,Senior Job Search Seminar,3,Pathways,,,false
PTH 410,PTH 410,Introduction to Peer Leadership,1,Pathways,,,false
PTH 411,PTH 411,Peer Mentoring I,1,Pathways,,,false
PTH 412,PTH 412,Intermediate Peer Leadership,1,Pathways,,,false
PTH 413,PTH 413,Peer Mentoring II,1,Pathways,,,false
PTH 414,PTH 414,Advanced Peer Leadership,1,Pathways,,,false
PTH 415,PTH 415,Peer Mentoring III,1,Pathways,,,false
PHL 101,PHL 101,Introductory Logic,3,Philosophy,,,false
PHL 190,PHL 190,Honors Logic,3,Philosophy,,,false
PHL 210,PHL 210,Ethics,3,Philosophy,PHL 101,,false
PHL 214,PHL 214,Environmental Ethics,3,Philosophy,PHL 101,BIO 110,false
PHL 220,PHL 220,Philosophy of Human Nature,3,Philosophy,PHL 101,,false
PHL 221,PHL 221,Existentialism,3,Philosophy,PHL 101,,false
PHL 222,PHL 222,Philosophy as a Way of Life,3,Philosophy,PHL 101,,false
PHL 230,PHL 230,Philosophy of Religion,3,Philosophy,PHL 101,,false
PHL 291,PHL 291,Honors Ethics,3,Philosophy,PHL 190,,false
PHL 292,PHL 292,Honors Philosophy of Human Nature,3,Philosophy,,,false
PHL 293,PHL 293,Honors Philosophy of Religion,3,Philosophy,PHL 190,,false
PHL 294,PHL 294,Honors Philosophy Special Topics,3,Philosophy,PHL 190,,false
PHL 295,PHL 295,Special Topics,1-3,Philosophy,PHL 101,,false
PHL 301,PHL 301,Intermediate Logic,1-3,Philosophy,PHL 101;PHL 190,,false
PHL 310,PHL 310,Advanced Ethics,3,Philosophy,PHL 101;PHL 190,,false
PHL 311,PHL 311,Bioethics,3,Philosophy,PHL 101;PHL 190,,false
